From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
2800;2776;sea;;-1;-1;-1;-1;ADEN_STRAIT;Yemen-Somaliland Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
3314;6336;sea;2752;2885;1578;2890;1581;;Afsluitdijk
4318;12789;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4996;12789;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4996;12898;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4996;10863;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4425;10863;impassable;-1;-1;-1;-1;-1;;yunnan mountains
10920;10863;impassable;-1;-1;-1;-1;-1;;yunnan mountains
12363;10863;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4210;10863;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4210;7976;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4210;5009;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4210;10413;impassable;-1;-1;-1;-1;-1;;yunnan mountains
7400;10413;impassable;-1;-1;-1;-1;-1;;yunnan mountains
7909;10413;impassable;-1;-1;-1;-1;-1;;yunnan mountains
7909;10776;impassable;-1;-1;-1;-1;-1;;yunnan mountains
4568;10776;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12433;10776;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12392;10776;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12392;1522;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12319;1522;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12319;1114;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12008;1114;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12008;1196;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
7518;1196;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
7518;1172;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
4656;1172;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
1172;10459;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
1172;1625;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
1653;1625;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
7606;1625;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
7606;1884;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
7606;4192;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
7446;4192;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
1319;4192;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
1319;12841;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
7294;12841;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
2067;12841;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
2067;5072;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12819;5072;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
12819;11972;impassable;-1;-1;-1;-1;-1;;GDU China Yunnan
4973;5042;impassable;-1;-1;-1;-1;-1;;GDU Cancerous TibetRaj Connection
7602;10385;impassable;-1;-1;-1;-1;-1;;GDU Iran
7602;8093;impassable;-1;-1;-1;-1;-1;;GDU Iran
7602;11671;impassable;-1;-1;-1;-1;-1;;GDU Iran
7602;7573;impassable;-1;-1;-1;-1;-1;;GDU Iran
7573;11671;impassable;-1;-1;-1;-1;-1;;GDU Iran
7573;10351;impassable;-1;-1;-1;-1;-1;;GDU Iran
7573;1957;impassable;-1;-1;-1;-1;-1;;GDU Iran
1521;1957;impassable;-1;-1;-1;-1;-1;;GDU Iran
1521;5029;impassable;-1;-1;-1;-1;-1;;GDU Iran
1521;10351;impassable;-1;-1;-1;-1;-1;;GDU Iran
1521;7491;impassable;-1;-1;-1;-1;-1;;GDU Iran
12333;8099;impassable;-1;-1;-1;-1;-1;;GDU Iran
12333;12491;impassable;-1;-1;-1;-1;-1;;GDU Iran
7491;5029;impassable;-1;-1;-1;-1;-1;;GDU Iran
7491;2000;impassable;-1;-1;-1;-1;-1;;GDU Iran
7560;2000;impassable;-1;-1;-1;-1;-1;;GDU Iran
4958;2000;impassable;-1;-1;-1;-1;-1;;GDU Iran
7604;1822;impassable;-1;-1;-1;-1;-1;;GDU Iran
7604;4755;impassable;-1;-1;-1;-1;-1;;GDU Iran
1636;4755;impassable;-1;-1;-1;-1;-1;;GDU Iran
6997;4755;impassable;-1;-1;-1;-1;-1;;GDU Iran
4660;4755;impassable;-1;-1;-1;-1;-1;;GDU Iran
4660;4825;impassable;-1;-1;-1;-1;-1;;GDU Iran
9715;4825;impassable;-1;-1;-1;-1;-1;;GDU Iran
9715;10454;impassable;-1;-1;-1;-1;-1;;GDU Iran
11704;10454;impassable;-1;-1;-1;-1;-1;;GDU Iran
12434;10454;impassable;-1;-1;-1;-1;-1;;GDU Iran
4473;10454;impassable;-1;-1;-1;-1;-1;;GDU Iran
4901;10454;impassable;-1;-1;-1;-1;-1;;GDU Iran
4901;12793;impassable;-1;-1;-1;-1;-1;;GDU Iran
4901;4553;impassable;-1;-1;-1;-1;-1;;GDU Iran
4609;4637;impassable;-1;-1;-1;-1;-1;;GDU Iran
12895;5075;impassable;-1;-1;-1;-1;-1;;GDU Iran
2070;5075;impassable;-1;-1;-1;-1;-1;;GDU Iran
10782;5075;impassable;-1;-1;-1;-1;-1;;GDU Iran
10782;12761;impassable;-1;-1;-1;-1;-1;;GDU Iran
5505;9824;impassable;-1;-1;-1;-1;-1;;GDU Spain
5505;6927;impassable;-1;-1;-1;-1;-1;;GDU Spain
5505;854;impassable;-1;-1;-1;-1;-1;;GDU Spain
8845;854;impassable;-1;-1;-1;-1;-1;;GDU Spain
8845;9764;impassable;-1;-1;-1;-1;-1;;GDU Spain
8845;6812;impassable;-1;-1;-1;-1;-1;;GDU Spain
8845;6966;impassable;-1;-1;-1;-1;-1;;GDU Spain
8845;3873;impassable;-1;-1;-1;-1;-1;;GDU Spain
5454;3873;impassable;-1;-1;-1;-1;-1;;GDU Spain
5454;6817;impassable;-1;-1;-1;-1;-1;;GDU Spain
5454;9896;impassable;-1;-1;-1;-1;-1;;GDU Spain
5454;6906;impassable;-1;-1;-1;-1;-1;;GDU Spain
5454;6959;impassable;-1;-1;-1;-1;-1;;GDU Spain
5454;962;impassable;-1;-1;-1;-1;-1;;GDU Spain
5454;4098;impassable;-1;-1;-1;-1;-1;;GDU Spain
5431;4098;impassable;-1;-1;-1;-1;-1;;GDU Spain
5431;10024;impassable;-1;-1;-1;-1;-1;;GDU Spain
5431;10109;impassable;-1;-1;-1;-1;-1;;GDU Spain
5431;4065;impassable;-1;-1;-1;-1;-1;;GDU Spain
5431;12038;impassable;-1;-1;-1;-1;-1;;GDU Spain
8793;12038;impassable;-1;-1;-1;-1;-1;;GDU Spain
8793;747;impassable;-1;-1;-1;-1;-1;;GDU Spain
8793;10063;impassable;-1;-1;-1;-1;-1;;GDU Spain
5407;10063;impassable;-1;-1;-1;-1;-1;;GDU Spain
5407;7068;impassable;-1;-1;-1;-1;-1;;GDU Spain
5407;9979;impassable;-1;-1;-1;-1;-1;;GDU Spain
5407;7153;impassable;-1;-1;-1;-1;-1;;GDU Spain
4135;7153;impassable;-1;-1;-1;-1;-1;;GDU Spain Gibraltar
13252;7153;impassable;-1;-1;-1;-1;-1;;GDU Spain Gibraltar
13252;10094;impassable;-1;-1;-1;-1;-1;;GDU Spain Gibraltar
13252;1048;impassable;-1;-1;-1;-1;-1;;GDU Spain Gibraltar
13253;1048;impassable;-1;-1;-1;-1;-1;;GDU Spain Gibraltar
5382;1048;impassable;-1;-1;-1;-1;-1;;GDU Spain
4080;5382;impassable;-1;-1;-1;-1;-1;;GDU Spain
9815;5382;impassable;-1;-1;-1;-1;-1;;GDU Spain
12070;5382;impassable;-1;-1;-1;-1;-1;;GDU Spain
6734;5284;impassable;-1;-1;-1;-1;-1;;GDU Spain
9689;5284;impassable;-1;-1;-1;-1;-1;;GDU Spain
11710;5284;impassable;-1;-1;-1;-1;-1;;GDU Spain
11710;8698;impassable;-1;-1;-1;-1;-1;;GDU Spain
758;8698;impassable;-1;-1;-1;-1;-1;;GDU Spain
758;5258;impassable;-1;-1;-1;-1;-1;;GDU Spain
3761;5258;impassable;-1;-1;-1;-1;-1;;GDU Spain
3761;8618;impassable;-1;-1;-1;-1;-1;;GDU Spain
6764;8618;impassable;-1;-1;-1;-1;-1;;GDU Spain
9719;8618;impassable;-1;-1;-1;-1;-1;;GDU Spain
11707;8618;impassable;-1;-1;-1;-1;-1;;GDU Spain
11707;5233;impassable;-1;-1;-1;-1;-1;;GDU Spain
6749;5233;impassable;-1;-1;-1;-1;-1;;GDU Spain
9703;5233;impassable;-1;-1;-1;-1;-1;;GDU Spain
11688;5233;impassable;-1;-1;-1;-1;-1;;GDU Spain
11688;8592;impassable;-1;-1;-1;-1;-1;;GDU Spain
740;8592;impassable;-1;-1;-1;-1;-1;;GDU Spain
6756;8592;impassable;-1;-1;-1;-1;-1;;GDU Spain
3737;8592;impassable;-1;-1;-1;-1;-1;;GDU Spain
10126;4073;impassable;-1;-1;-1;-1;-1;;GDU Egypt
10126;12004;impassable;-1;-1;-1;-1;-1;;GDU Egypt
10126;4143;impassable;-1;-1;-1;-1;-1;;GDU Egypt
10126;7188;impassable;-1;-1;-1;-1;-1;;GDU Egypt
1080;7188;impassable;-1;-1;-1;-1;-1;;GDU Egypt
1080;7030;impassable;-1;-1;-1;-1;-1;;GDU Egypt
1080;10028;impassable;-1;-1;-1;-1;-1;;GDU Egypt
10126;12002;impassable;-1;-1;-1;-1;-1;;GDU Egypt
1151;12002;impassable;-1;-1;-1;-1;-1;;GDU Egypt
12071;12002;impassable;-1;-1;-1;-1;-1;;GDU Egypt
12071;12889;impassable;-1;-1;-1;-1;-1;;GDU Egypt
1064;12889;impassable;-1;-1;-1;-1;-1;;GDU Egypt
1064;4068;impassable;-1;-1;-1;-1;-1;;GDU Egypt
7156;4068;impassable;-1;-1;-1;-1;-1;;GDU Egypt
7156;5069;impassable;-1;-1;-1;-1;-1;;GDU Egypt
4910;5069;impassable;-1;-1;-1;-1;-1;;GDU Egypt
1977;5069;impassable;-1;-1;-1;-1;-1;;GDU Egypt
8742;5069;impassable;-1;-1;-1;-1;-1;;GDU Egypt
2825;5069;impassable;-1;-1;-1;-1;-1;;GDU Egypt
2825;4068;impassable;-1;-1;-1;-1;-1;;GDU Egypt
2825;12889;impassable;-1;-1;-1;-1;-1;;GDU Egypt
5388;12889;impassable;-1;-1;-1;-1;-1;;GDU Egypt
5388;9957;impassable;-1;-1;-1;-1;-1;;GDU Egypt
5388;10126;impassable;-1;-1;-1;-1;-1;;GDU Egypt
10028;12002;impassable;-1;-1;-1;-1;-1;;GDU Egypt
5069;10902;impassable;-1;-1;-1;-1;-1;;GDU Egypt
4068;12733;impassable;-1;-1;-1;-1;-1;;GDU Egypt
5069;12733;impassable;-1;-1;-1;-1;-1;;GDU Egypt
11130;6208;impassable;-1;-1;-1;-1;-1;;GDU Finland
11130;6107;impassable;-1;-1;-1;-1;-1;;GDU Finland
11130;9191;impassable;-1;-1;-1;-1;-1;;GDU Finland
203;9191;impassable;-1;-1;-1;-1;-1;;GDU Finland
203;11169;impassable;-1;-1;-1;-1;-1;;GDU Finland
167;11169;impassable;-1;-1;-1;-1;-1;;GDU Finland
167;9128;impassable;-1;-1;-1;-1;-1;;GDU Finland
3069;9128;impassable;-1;-1;-1;-1;-1;;GDU Finland
3069;11104;impassable;-1;-1;-1;-1;-1;;GDU Finland
6061;11104;impassable;-1;-1;-1;-1;-1;;GDU Finland
6061;9064;impassable;-1;-1;-1;-1;-1;;GDU Finland
6061;6092;impassable;-1;-1;-1;-1;-1;;GDU Finland
3097;6092;impassable;-1;-1;-1;-1;-1;;GDU Finland
3097;9116;impassable;-1;-1;-1;-1;-1;;GDU Finland
6183;9116;impassable;-1;-1;-1;-1;-1;;GDU Finland
11142;9116;impassable;-1;-1;-1;-1;-1;;GDU Finland
9140;9116;impassable;-1;-1;-1;-1;-1;;GDU Finland
9140;5765;impassable;-1;-1;-1;-1;-1;;GDU Finland
11130;6170;impassable;-1;-1;-1;-1;-1;;GDU Finland
11130;61;impassable;-1;-1;-1;-1;-1;;GDU Finland
11115;61;impassable;-1;-1;-1;-1;-1;;GDU Finland
11115;6168;impassable;-1;-1;-1;-1;-1;;GDU Finland
3193;6168;impassable;-1;-1;-1;-1;-1;;GDU Finland
3193;201;impassable;-1;-1;-1;-1;-1;;GDU Finland
3193;9147;impassable;-1;-1;-1;-1;-1;;GDU Finland
11125;9147;impassable;-1;-1;-1;-1;-1;;GDU Finland
-1;-1;;-1;-1;-1;-1;-1;-1
